grammar,op,k,trial,p,e,strategy,answer,landed,overshoot,lost,cascade
c-like conventional with strings and line comments,substitute,1,77,200808,200808,newline,200832,1,23,8,1
c-like conventional with strings and line comments,substitute,1,77,200808,200808,semicolon,200823,1,14,5,1
c-like conventional with strings and line comments,substitute,1,78,182129,182129,certified,182188,1,45,15,1
c-like conventional with strings and line comments,substitute,1,78,182129,182129,skip-one,182130,0,-13,0,2
c-like conventional with strings and line comments,substitute,1,78,182129,182129,newline,182188,1,45,15,1
c-like conventional with strings and line comments,substitute,1,78,182129,182129,semicolon,182151,1,8,3,1
c-like conventional with strings and line comments,substitute,1,79,3342,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,80,212195,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,81,172422,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,82,79384,79384,certified,79426,1,41,10,1
c-like conventional with strings and line comments,substitute,1,82,79384,79384,skip-one,79385,1,0,0,1
c-like conventional with strings and line comments,substitute,1,82,79384,79384,newline,79427,1,42,11,1
c-like conventional with strings and line comments,substitute,1,82,79384,79384,semicolon,79516,1,131,33,1
c-like conventional with strings and line comments,substitute,1,83,138641,138641,certified,138671,1,26,9,1
c-like conventional with strings and line comments,substitute,1,83,138641,138641,skip-one,138642,0,-3,0,1
c-like conventional with strings and line comments,substitute,1,83,138641,138641,newline,138671,1,26,9,1
c-like conventional with strings and line comments,substitute,1,83,138641,138641,semicolon,138844,1,199,63,1
c-like conventional with strings and line comments,substitute,1,84,112025,112025,certified,112067,1,39,13,1
c-like conventional with strings and line comments,substitute,1,84,112025,112025,skip-one,112026,0,-2,0,1
c-like conventional with strings and line comments,substitute,1,84,112025,112025,newline,112067,1,39,13,1
c-like conventional with strings and line comments,substitute,1,84,112025,112025,semicolon,112043,1,15,5,1
c-like conventional with strings and line comments,substitute,1,85,216507,216507,certified,216557,1,46,9,1
c-like conventional with strings and line comments,substitute,1,85,216507,216507,skip-one,216508,0,-3,0,1
c-like conventional with strings and line comments,substitute,1,85,216507,216507,newline,216557,1,46,9,1
c-like conventional with strings and line comments,substitute,1,85,216507,216507,semicolon,216624,1,113,27,1
c-like conventional with strings and line comments,substitute,1,86,163921,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,87,93117,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,88,84972,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,89,198685,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,90,14325,14325,certified,14371,1,43,15,1
c-like conventional with strings and line comments,substitute,1,90,14325,14325,skip-one,14326,0,-2,0,1
c-like conventional with strings and line comments,substitute,1,90,14325,14325,newline,14371,1,43,15,1
c-like conventional with strings and line comments,substitute,1,90,14325,14325,semicolon,14423,1,95,31,1
c-like conventional with strings and line comments,substitute,1,91,45232,45232,certified,45272,1,38,10,1
c-like conventional with strings and line comments,substitute,1,91,45232,45232,skip-one,45233,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,91,45232,45232,newline,45273,1,39,11,1
c-like conventional with strings and line comments,substitute,1,91,45232,45232,semicolon,45354,1,120,31,1
c-like conventional with strings and line comments,substitute,1,92,102372,102372,certified,102394,1,18,7,1
c-like conventional with strings and line comments,substitute,1,92,102372,102372,skip-one,102373,0,-3,0,1
c-like conventional with strings and line comments,substitute,1,92,102372,102372,newline,102394,1,18,7,1
c-like conventional with strings and line comments,substitute,1,92,102372,102372,semicolon,102558,1,182,51,1
c-like conventional with strings and line comments,substitute,1,93,8704,8704,certified,8716,1,10,3,1
c-like conventional with strings and line comments,substitute,1,93,8704,8704,skip-one,8705,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,93,8704,8704,newline,8716,1,10,3,1
c-like conventional with strings and line comments,substitute,1,93,8704,8704,semicolon,8729,1,23,7,1
c-like conventional with strings and line comments,substitute,1,94,242375,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,95,106829,106829,certified,106855,1,25,9,1
c-like conventional with strings and line comments,substitute,1,95,106829,106829,skip-one,106830,1,0,0,1
c-like conventional with strings and line comments,substitute,1,95,106829,106829,newline,106856,1,26,10,1
c-like conventional with strings and line comments,substitute,1,95,106829,106829,semicolon,106916,1,86,26,1
c-like conventional with strings and line comments,substitute,1,96,168001,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,97,1011,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,98,114299,114299,certified,114329,1,27,11,1
c-like conventional with strings and line comments,substitute,1,98,114299,114299,skip-one,114300,0,-2,0,1
c-like conventional with strings and line comments,substitute,1,98,114299,114299,newline,114329,1,27,11,1
c-like conventional with strings and line comments,substitute,1,98,114299,114299,semicolon,114364,1,62,21,1
c-like conventional with strings and line comments,substitute,1,99,100801,100801,certified,100816,1,11,5,1
c-like conventional with strings and line comments,substitute,1,99,100801,100801,skip-one,100802,0,-3,0,1
c-like conventional with strings and line comments,substitute,1,99,100801,100801,newline,100816,1,11,5,1
c-like conventional with strings and line comments,substitute,1,99,100801,100801,semicolon,100822,1,17,7,1
c-like conventional with strings and line comments,substitute,1,100,23951,23951,certified,23987,1,32,11,1
c-like conventional with strings and line comments,substitute,1,100,23951,23951,skip-one,23952,0,-3,0,1
c-like conventional with strings and line comments,substitute,1,100,23951,23951,newline,23987,1,32,11,1
c-like conventional with strings and line comments,substitute,1,100,23951,23951,semicolon,23963,1,8,3,1
c-like conventional with strings and line comments,substitute,1,101,65325,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,102,109528,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,103,173031,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,104,34997,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,105,232279,232279,certified,232328,1,47,15,1
c-like conventional with strings and line comments,substitute,1,105,232279,232279,skip-one,232280,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,105,232279,232279,newline,232328,1,47,15,1
c-like conventional with strings and line comments,substitute,1,105,232279,232279,semicolon,232287,1,6,2,1
c-like conventional with strings and line comments,substitute,1,106,63742,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,107,101428,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,108,183278,183278,certified,183289,1,10,3,1
c-like conventional with strings and line comments,substitute,1,108,183278,183278,skip-one,183279,1,0,0,1
c-like conventional with strings and line comments,substitute,1,108,183278,183278,newline,183289,1,10,3,1
c-like conventional with strings and line comments,substitute,1,108,183278,183278,semicolon,183357,1,78,25,1
c-like conventional with strings and line comments,substitute,1,109,226878,226878,certified,226936,1,54,16,1
c-like conventional with strings and line comments,substitute,1,109,226878,226878,skip-one,226879,0,-3,0,1
c-like conventional with strings and line comments,substitute,1,109,226878,226878,newline,226936,1,54,16,1
c-like conventional with strings and line comments,substitute,1,109,226878,226878,semicolon,226919,1,37,13,1
c-like conventional with strings and line comments,substitute,1,110,204294,204294,certified,204296,1,0,0,1
c-like conventional with strings and line comments,substitute,1,110,204294,204294,skip-one,204295,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,110,204294,204294,newline,204296,1,0,0,1
c-like conventional with strings and line comments,substitute,1,110,204294,204294,semicolon,204399,1,103,32,1
c-like conventional with strings and line comments,substitute,1,111,20272,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,112,126681,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,113,141147,141147,certified,141186,1,35,10,1
c-like conventional with strings and line comments,substitute,1,113,141147,141147,skip-one,141148,0,-3,0,1
c-like conventional with strings and line comments,substitute,1,113,141147,141147,newline,141186,1,35,10,1
c-like conventional with strings and line comments,substitute,1,113,141147,141147,semicolon,141152,1,1,1,1
c-like conventional with strings and line comments,substitute,1,114,206815,206815,certified,206855,1,34,11,1
c-like conventional with strings and line comments,substitute,1,114,206815,206815,skip-one,206816,0,-5,0,1
c-like conventional with strings and line comments,substitute,1,114,206815,206815,newline,206856,1,35,12,1
c-like conventional with strings and line comments,substitute,1,114,206815,206815,semicolon,206830,1,9,3,1
c-like conventional with strings and line comments,substitute,1,115,224372,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,116,227837,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,117,62753,62753,certified,62817,1,62,20,1
c-like conventional with strings and line comments,substitute,1,117,62753,62753,skip-one,62754,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,117,62753,62753,newline,62817,1,62,20,1
c-like conventional with strings and line comments,substitute,1,117,62753,62753,semicolon,62845,1,90,26,1
c-like conventional with strings and line comments,substitute,1,118,253138,253138,certified,253173,1,30,11,1
c-like conventional with strings and line comments,substitute,1,118,253138,253138,skip-one,253139,0,-4,0,1
c-like conventional with strings and line comments,substitute,1,118,253138,253138,newline,253173,1,30,11,1
c-like conventional with strings and line comments,substitute,1,118,253138,253138,semicolon,253236,1,93,35,1
c-like conventional with strings and line comments,substitute,1,119,218775,218787,certified,218805,1,17,6,1
c-like conventional with strings and line comments,substitute,1,119,218775,218787,skip-one,218788,1,0,0,1
c-like conventional with strings and line comments,substitute,1,119,218775,218787,newline,218806,1,18,7,1
c-like conventional with strings and line comments,substitute,1,119,218775,218787,semicolon,218820,1,32,13,1
c-like conventional with strings and line comments,substitute,1,120,119344,119344,certified,119357,1,11,5,1
c-like conventional with strings and line comments,substitute,1,120,119344,119344,skip-one,119345,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,120,119344,119344,newline,119357,1,11,5,1
c-like conventional with strings and line comments,substitute,1,120,119344,119344,semicolon,119355,1,9,4,1
c-like conventional with strings and line comments,substitute,1,121,163025,163025,certified,163044,1,17,4,1
c-like conventional with strings and line comments,substitute,1,121,163025,163025,skip-one,163026,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,121,163025,163025,newline,163045,1,18,5,1
c-like conventional with strings and line comments,substitute,1,121,163025,163025,semicolon,163118,1,91,25,1
c-like conventional with strings and line comments,substitute,1,122,59888,59888,certified,59953,1,64,18,1
c-like conventional with strings and line comments,substitute,1,122,59888,59888,skip-one,59889,1,0,0,1
c-like conventional with strings and line comments,substitute,1,122,59888,59888,newline,59953,1,64,18,1
c-like conventional with strings and line comments,substitute,1,122,59888,59888,semicolon,59989,1,100,26,1
c-like conventional with strings and line comments,substitute,1,123,150411,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,124,138873,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,125,29946,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,126,216263,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,127,244459,244459,certified,244464,1,3,2,1
c-like conventional with strings and line comments,substitute,1,127,244459,244459,skip-one,244460,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,127,244459,244459,newline,244464,1,3,2,1
c-like conventional with strings and line comments,substitute,1,127,244459,244459,semicolon,244462,1,1,1,1
c-like conventional with strings and line comments,substitute,1,128,128077,128077,certified,128105,1,24,10,1
c-like conventional with strings and line comments,substitute,1,128,128077,128077,skip-one,128078,0,-3,0,1
c-like conventional with strings and line comments,substitute,1,128,128077,128077,newline,128105,1,24,10,1
c-like conventional with strings and line comments,substitute,1,128,128077,128077,semicolon,128082,1,1,1,1
c-like conventional with strings and line comments,substitute,1,129,93455,93455,certified,93495,1,39,8,1
c-like conventional with strings and line comments,substitute,1,129,93455,93455,skip-one,93456,1,0,0,1
c-like conventional with strings and line comments,substitute,1,129,93455,93455,newline,93495,1,39,8,1
c-like conventional with strings and line comments,substitute,1,129,93455,93455,semicolon,93587,1,131,36,1
c-like conventional with strings and line comments,substitute,1,130,120547,120547,certified,120590,1,40,11,1
c-like conventional with strings and line comments,substitute,1,130,120547,120547,skip-one,120548,0,-2,0,1
c-like conventional with strings and line comments,substitute,1,130,120547,120547,newline,120590,1,40,11,1
c-like conventional with strings and line comments,substitute,1,130,120547,120547,semicolon,120636,1,86,27,1
c-like conventional with strings and line comments,substitute,1,131,69909,,absorbed,,,,,
c-like conventional with strings and line comments,substitute,1,132,253358,253358,certified,253378,1,18,8,1
c-like conventional with strings and line comments,substitute,1,132,253358,253358,skip-one,253359,0,-1,0,1
c-like conventional with strings and line comments,substitute,1,132,253358,253358,newline,253378,1,18,8,1
